track_id,track_name,playlist_id,playlist_name
4qEoqyPbLYnLOii6mKlIjI,"Determinate - From ""Lemonade Mouth""",7jQHOrErpLMStcUUSavQWR,Post teen pop
5lz0NiPw32Gq4kMIUJvuw2,"Take On the World - Theme Song From ""Girl Meets World""",7jQHOrErpLMStcUUSavQWR,Post teen pop
1rM0CnyUiiw6A9CHJRXjZA,Chillin' Like a Villain,7jQHOrErpLMStcUUSavQWR,Post teen pop
744ZuzjXQmoJmOdk2I1ym9,"Keep It Undercover - Theme Song From ""K.C. Undercover""",7jQHOrErpLMStcUUSavQWR,Post teen pop
6VcKAd94eVxNyudlWN91GH,"Time of Our Lives - Main Title Theme From ""I Didn't Do It""",7jQHOrErpLMStcUUSavQWR,Post teen pop
3TcL0dyCMyr0kyTTc4NLgI,Who Says,7jQHOrErpLMStcUUSavQWR,Post teen pop
1UXBbmjIrxjckrbv5EfSVT,Tell Me Something I Don't Know - Soundtrack,7jQHOrErpLMStcUUSavQWR,Post teen pop
0hnHoQbEQOL4YUZ4SO6xbe,Calling All the Monsters,7jQHOrErpLMStcUUSavQWR,Post teen pop
48qKqo6HgIG8VLN4CpYb37,Magic,7jQHOrErpLMStcUUSavQWR,Post teen pop
4TSxpQC5oY6XBkUSLPYM6G,Boombox,7jQHOrErpLMStcUUSavQWR,Post teen pop
5y6pj7OeBFF0CVgZKhRbOG,Black Magic,7jQHOrErpLMStcUUSavQWR,Post teen pop
2n3CaPGPLYnYAvTEwKCX8t,Mmm Yeah (feat. Pitbull),7jQHOrErpLMStcUUSavQWR,Post teen pop
4d2xzqxnNCEetIzMwRqhMK,La Bella y La Bestia,7jQHOrErpLMStcUUSavQWR,Post teen pop
33oVWYegPgHz4xes1bYUpk,EsperÃ¡ndola sin mÃ¡s,7jQHOrErpLMStcUUSavQWR,Post teen pop
3vrw4MWkszWdFlCmJfpkv2,Por fin ya veo la luz,7jQHOrErpLMStcUUSavQWR,Post teen pop
0WSO4MJCg5nCW261pGQHao,Cuando mi vida va a comenzar,7jQHOrErpLMStcUUSavQWR,Post teen pop
5AJlZB3pgR7fM3DWTeL6WT,El Ritmo De La Selva,7jQHOrErpLMStcUUSavQWR,Post teen pop
38J1ihEp0kRsuRboyoKXhN,Pobres almas sin sol,7jQHOrErpLMStcUUSavQWR,Post teen pop
54NI0COc4wjNVTW9rnOEfI,"Parte De Tu Mundo - De ""La Sirenita""/Banda Sonora Original",7jQHOrErpLMStcUUSavQWR,Post teen pop
5Xw4HulgAYsJaB9VXOMVLH,CanciÃ³n del encantamiento,7jQHOrErpLMStcUUSavQWR,Post teen pop
0zqY0ttERCqwSfgzfMWMNG,La Bella Y La Bestia,7jQHOrErpLMStcUUSavQWR,Post teen pop
6orRFPOpyksp2Hgh7KDehQ,QuÃ© hay mÃ¡s allÃ¡,7jQHOrErpLMStcUUSavQWR,Post teen pop
7Hjr124CfhS8HYAHJitVO4,Fire,7jQHOrErpLMStcUUSavQWR,Post teen pop
2E1V6nbjINpLpiMaWMSYZ4,Can't Back Down,7jQHOrErpLMStcUUSavQWR,Post teen pop
58HtLMKqU6MOr3cw0P6QEm,"It's On - From ""Camp Rock 2: The Final Jam""",7jQHOrErpLMStcUUSavQWR,Post teen pop
5Alb26b1yQSaZtNxYKhZFC,Wouldn't Change a Thing,7jQHOrErpLMStcUUSavQWR,Post teen pop
2y8rZoB5iJBt233kASCihn,Introducing Me,7jQHOrErpLMStcUUSavQWR,Post teen pop
0q6ku8ljaOYoxs80gYrW8r,This is Our Song,7jQHOrErpLMStcUUSavQWR,Post teen pop
6uqpHCbXPceYgS4KdzaOdU,We Rock,7jQHOrErpLMStcUUSavQWR,Post teen pop
5ef1YfcBRyWqKZ5t9ZUYe0,Play My Music,7jQHOrErpLMStcUUSavQWR,Post teen pop
6RC5tEJEye1m0ilNfzjf3K,Gotta Find You,7jQHOrErpLMStcUUSavQWR,Post teen pop
2JQRlt3HpTCpRvcfDsbwic,This Is Me,7jQHOrErpLMStcUUSavQWR,Post teen pop
5LiW25vFN2BzrceU27R8qy,Here I Am,7jQHOrErpLMStcUUSavQWR,Post teen pop
6xg61PHNCLvQClEJrT9p0V,What it Takes,7jQHOrErpLMStcUUSavQWR,Post teen pop
0CNuwuX6yEMcQYsCnwUfaV,Dynamite,7jQHOrErpLMStcUUSavQWR,Post teen pop
0unE30Ni1mCtJ3ouixiwlB,Something About the Sunshine,7jQHOrErpLMStcUUSavQWR,Post teen pop
4l0Mvzj72xxOpRrp6h8nHi,Lose You To Love Me,6o6MNYZqHSkMAKcCHPNu7K,Intro to Post-Teen Pop
7GCVboEDzfL3NKp1NrAgHR,Wrong Direction,6o6MNYZqHSkMAKcCHPNu7K,Intro to Post-Teen Pop
3jjujdWJ72nww5eGnfs2E7,Adore You,6o6MNYZqHSkMAKcCHPNu7K,Intro to Post-Teen Pop
6ocbgoVGwYJhOv1GgI9NsF,7 rings,6o6MNYZqHSkMAKcCHPNu7K,Intro to Post-Teen Pop
26wLOs3ZuHJa2Ihhx6QIE6,Teeth,6o6MNYZqHSkMAKcCHPNu7K,Intro to Post-Teen Pop
5p7ujcrUXASCNwRaWNHR1C,Without Me,6o6MNYZqHSkMAKcCHPNu7K,Intro to Post-Teen Pop
2BgEsaKNfHUdlh97KmvFyo,2002,6o6MNYZqHSkMAKcCHPNu7K,Intro to Post-Teen Pop
1rW6UUZRQWW34j4zCQDkfX,Bang Bang,6o6MNYZqHSkMAKcCHPNu7K,Intro to Post-Teen Pop
6RRNNciQGZEXnqk8SQ9yv5,You Need To Calm Down,6o6MNYZqHSkMAKcCHPNu7K,Intro to Post-Teen Pop
